Sale_ID,Date,Brand,Model,Year,Price,Quantity,City,Salesperson,Payment_Method,Customer_Age,Revenue
1,2025-04-13,Honda,Civic,2022,27300.0,3,Irbid,Sara,Bank Transfer,31.0,81900.0
2,2025-05-30,Mercedes,C-Class,2023,47800.0,1,Salt,Omar,Installment,50.0,47800.0
3,2025-11-10,Ford,Fusion,2023,24200.0,2,Madaba,Yousef,Installment,45.0,48400.0
4,2025-07-07,Toyota,RAV4,2022,35600.0,2,Jerash,Noor,Credit Card,23.0,71200.0
5,2025-03-30,Kia,Sportage,2024,31100.0,1,Aqaba,Noor,Credit Card,29.0,31100.0
6,2025-09-21,BMW,3 Series,2021,51100.0,2,Jerash,Sara,Credit Card,37.0,102200.0
7,2025-09-17,Hyundai,Sonata,2023,27000.0,1,Madaba,Yousef,Bank Transfer,38.0,27000.0
8,2025-07-09,BMW,5 Series,2021,69500.0,2,Salt,Dana,Cash,38.0,139000.0
9,2025-02-10,Honda,Civic,2021,28500.0,2,Salt,Khaled,Cash,21.0,57000.0
10,2025-05-16,Toyota,RAV4,2020,39200.0,2,Jerash,Sara,Bank Transfer,37.0,78400.0
11,2025-08-19,Mercedes,GLC,2020,63700.0,1,Irbid,Ahmad,Installment,27.0,63700.0
12,2025-04-09,Toyota,Camry,2020,27800.0,3,Aqaba,Dana,Credit Card,47.0,83400.0
13,2025-09-14,Mercedes,C-Class,2022,47400.0,1,Salt,Omar,Bank Transfer,34.0,47400.0
14,2025-02-11,Honda,CR-V,2020,36400.0,1,Aqaba,Yousef,Bank Transfer,52.0,36400.0
15,2025-08-10,Honda,Civic,2023,25800.0,2,Salt,Khaled,Bank Transfer,35.0,51600.0
16,2025-08-31,Mercedes,C-Class,2023,59000.0,1,Madaba,Lina,Credit Card,26.0,59000.0
17,2025-12-14,Hyundai,Sonata,2025,28700.0,1,Amman,Khaled,Credit Card,53.0,28700.0
18,2025-08-21,Toyota,Corolla,2022,23900.0,2,Zarqa,Khaled,Credit Card,28.0,47800.0
19,2025-08-22,Mercedes,C-Class,2025,48900.0,1,Aqaba,Dana,Bank Transfer,52.0,48900.0
20,2025-09-25,Toyota,Corolla,2025,27400.0,2,Madaba,Khaled,Credit Card,23.0,54800.0
21,2025-04-23,Toyota,Corolla,2020,27600.0,1,Irbid,Omar,Installment,43.0,27600.0
22,2025-02-22,Kia,Cerato,2020,19800.0,1,Aqaba,Omar,Installment,26.0,19800.0
23,2025-09-12,Honda,CR-V,2022,33300.0,1,Madaba,Dana,Cash,54.0,33300.0
24,2025-07-20,Ford,Fusion,2022,28600.0,1,Aqaba,Sara,Credit Card,36.0,28600.0
25,2025-12-12,Kia,Sportage,2023,30000.0,2,Zarqa,Khaled,Bank Transfer,40.0,60000.0
26,2025-12-26,Honda,Civic,2020,24700.0,1,Amman,Sara,Installment,45.0,24700.0
27,2025-05-24,BMW,X3,2025,61900.0,2,Irbid,Dana,Cash,22.0,123800.0
28,2025-01-09,Toyota,Camry,2023,32000.0,1,Amman,Sara,Bank Transfer,36.0,32000.0
29,2025-04-23,Mercedes,E-Class,2020,71600.0,1,Aqaba,Noor,Installment,40.0,71600.0
30,2025-12-15,Ford,Explorer,2025,44200.0,1,Irbid,Dana,Credit Card,38.0,44200.0
31,2025-06-10,BMW,5 Series,2022,65500.0,1,Aqaba,Ahmad,Credit Card,41.0,65500.0
32,2025-06-25,Hyundai,Tucson,2022,31700.0,1,Aqaba,Sara,Bank Transfer,42.0,31700.0
33,2025-02-20,Honda,Accord,2025,31200.0,3,Madaba,Dana,Bank Transfer,47.0,93600.0
34,2025-11-13,BMW,3 Series,2025,50600.0,1,Zarqa,Lina,Bank Transfer,37.0,50600.0
35,2025-08-21,Hyundai,Sonata,2024,26800.0,1,Salt,Dana,Cash,51.0,26800.0
36,2025-06-10,Mercedes,C-Class,2023,49900.0,3,Zarqa,Dana,Credit Card,45.0,149700.0
37,2025-10-15,BMW,X3,2025,61900.0,1,Jerash,Noor,Bank Transfer,22.0,61900.0
38,2025-04-14,Honda,CR-V,2021,38000.0,1,Amman,Ahmad,Bank Transfer,59.0,38000.0
39,2025-01-13,Kia,K5,2021,29700.0,1,Aqaba,Omar,Bank Transfer,56.0,29700.0
40,2025-05-23,Kia,Cerato,2025,23000.0,2,Aqaba,Omar,Credit Card,52.0,46000.0
41,2025-03-04,Honda,CR-V,2025,32900.0,1,Madaba,Yousef,Credit Card,42.0,32900.0
42,2025-04-11,Toyota,Camry,2025,29800.0,1,Amman,Dana,Cash,25.0,29800.0
43,2025-11-07,Honda,Accord,2024,28000.0,1,Aqaba,Dana,Cash,50.0,28000.0
44,2025-08-17,Mercedes,C-Class,2022,51900.0,1,Irbid,Yousef,Credit Card,43.0,51900.0
45,2025-05-02,Honda,Civic,2023,24800.0,1,Amman,Khaled,Credit Card,52.0,24800.0
46,2025-09-29,Ford,Fusion,2020,27500.0,3,Salt,Khaled,Installment,25.0,82500.0
